Date,MarketCap,Volume,Price,,
2025-01-06,"$303,971,779","$3,064,336",3.62,,
2025-01-05,"$325,986,488","$9,242,564",3.775,,
2025-01-04,"$285,309,854","$3,979,382",3.665,,
2025-01-03,"$254,221,984","$6,112,162",3.235,,
2025-01-02,"$213,668,737","$2,336,681",2.805,,
2025-01-01,"$188,570,197","$3,392,232",2.41,,
2024-12-31,"$202,449,141","$2,861,525",2.345,,
2024-12-30,"$214,606,719","$1,504,375",2.5,,
2024-12-29,"$226,451,698","$1,560,205",2.64,,
2024-12-28,"$217,236,186","$2,742,817",2.655,,
2024-12-27,"$234,091,952","$2,022,093",2.7,,
2024-12-26,"$248,487,120","$1,688,538",2.89,,
2024-12-25,"$245,210,152","$3,903,805",2.96,,
2024-12-24,"$251,277,833","$3,109,831",2.975,,
2024-12-23,"$218,661,385","$3,087,193",2.815,,
2024-12-22,"$224,908,374","$5,386,650",2.66,,
2024-12-21,"$246,749,400","$6,767,348",2.83,,
2024-12-20,"$250,678,269","$8,729,867",2.985,,
2024-12-19,"$293,174,041","$5,360,548",3.265,,
2024-12-18,"$334,318,061","$4,167,280",3.76,,
2024-12-17,"$333,611,434","$5,600,519",3.975,,
2024-12-16,"$338,298,930","$2,957,967",4,,
2024-12-15,"$334,102,953","$3,449,271",4.025,,
2024-12-14,"$334,837,888","$3,273,582",4.01,,
2024-12-13,"$338,745,307","$4,881,476",4.04,,
2024-12-12,"$327,639,900","$5,759,198",3.995,,
2024-12-11,"$308,695,267","$5,781,310",3.815,,
2024-12-10,"$320,951,588","$11,897,384",3.775,,
2024-12-09,"$341,543,328","$3,878,740",3.97,,
2024-12-08,"$321,400,316","$4,176,618",3.97,,
2024-12-07,"$336,232,420","$7,330,488",3.94,,
2024-12-06,"$299,791,556","$8,627,679",3.81,,
2024-12-05,"$300,534,305","$5,900,254",3.6,,
2024-12-04,"$307,728,342","$8,607,048",3.65,,
2024-12-03,"$310,408,585","$7,529,578",3.705,,
2024-12-02,"$345,887,562","$8,365,279",3.935,,
2024-12-01,"$314,439,889","$6,426,456",3.96,,
2024-11-30,"$280,214,862","$5,182,462",3.565,,
2024-11-29,"$272,686,557","$2,893,667",3.32,,
2024-11-28,"$291,943,313","$5,215,234",3.39,,
2024-11-27,"$259,280,700","$2,411,435",3.305,,
2024-11-26,"$261,628,618","$5,785,750",3.125,,
2024-11-25,"$269,787,383","$3,326,532",3.185,,
2024-11-24,"$260,958,315","$3,470,424",3.18,,
2024-11-23,"$255,288,870","$3,674,009",3.095,,
2024-11-22,"$279,994,870","$4,877,807",3.21,,
2024-11-21,"$254,760,325","$3,407,170",3.205,,
2024-11-20,"$274,714,620","$5,280,509",3.175,,
2024-11-19,"$286,642,038","$5,020,314",3.375,,
2024-11-18,"$260,739,723","$3,862,718",3.29,,
2024-11-17,"$252,313,724","$4,152,602",3.08,,
2024-11-16,"$275,170,011","$2,989,819",3.17,,
2024-11-15,"$264,237,656","$4,568,606",3.265,,
2024-11-14,"$307,663,825","$5,266,251",3.455,,
2024-11-13,"$328,038,867","$6,736,884",3.805,,
2024-11-12,"$328,002,716","$5,893,297",3.93,,
2024-11-11,"$288,808,696","$5,299,626",3.7,,
2024-11-10,"$273,490,623","$3,528,621",3.365,,
2024-11-09,"$286,963,270","$3,545,685",3.355,,
2024-11-08,"$289,957,919","$3,658,035",3.46,,
2024-11-07,"$291,297,062","$8,346,550",3.49,,
2024-11-06,"$273,319,661","$4,547,953",3.39,,
2024-11-05,"$262,791,293","$6,239,393",3.215,,
2024-11-04,"$235,295,559","$1,571,274",2.985,,
2024-11-03,"$248,675,125","$2,796,790",2.9,,
2024-11-02,"$258,739,377","$2,535,511",3.04,,
2024-11-01,"$258,577,837","$4,340,131",3.1,,
2024-10-31,"$296,871,190","$5,988,503",3.325,,
2024-10-30,"$300,191,228","$6,133,492",3.57,,
2024-10-29,"$327,446,422","$7,630,478",3.76,,
2024-10-28,"$324,138,612","$21,617,469",3.91,,
2024-10-27,"$301,451,569","$10,975,251",3.755,,
2024-10-26,"$240,137,328","$12,638,181",3.255,,
2024-10-25,"$219,294,916","$5,535,242",2.76,,
2024-10-24,"$167,803,184","$1,227,040",2.32,,
2024-10-23,"$179,126,557","$1,524,624",2.08,,
2024-10-22,"$185,813,482","$2,538,363",2.19,,
2024-10-21,"$193,664,005","$6,960,934",2.275,,
2024-10-20,"$186,006,097","$4,266,751",2.275,,
2024-10-19,"$142,154,098","$683,914",1.965,,
2024-10-18,"$141,175,778","$738,065",1.695,,
2024-10-17,"$150,777,868","$1,012,555",1.75,,
2024-10-16,"$143,605,779","$1,378,441",1.765,,
2024-10-15,"$144,383,501","$1,662,427",1.725,,
2024-10-14,"$128,980,552","$1,035,974",1.64,,
2024-10-13,"$133,452,742","$1,146,747",1.575,,
2024-10-12,"$133,676,131","$1,295,566",1.6,,
2024-10-11,"$126,810,614","$802,704",1.56,,
2024-10-10,"$130,834,378","$741,767",1.545,,
